#Simulate Step number,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading,Time taken by task
72.0000,51.1990,30.5395,-0.0008,20.4259,-0.0000,20.4259,51.1990,52
73.0000,51.6368,29.2318,2.0000,20.5259,0.0025,20.5259,51.6368,16
74.0000,52.0430,28.6496,-0.0008,20.5259,-0.0000,20.5259,52.0430,45
75.0000,52.4273,28.2120,-0.0008,20.5259,-0.0000,20.5259,52.4273,80
76.0000,52.8387,28.7525,-0.0008,20.5258,-0.0000,20.5258,52.8387,45
77.0000,53.2925,29.6031,-0.0008,20.5258,-0.0000,20.5258,53.2925,47
78.0000,53.7028,28.7810,2.0000,20.6258,0.0025,20.6258,53.7028,13
79.0000,54.0941,28.4513,-0.0008,20.6257,-0.0000,20.6257,54.0941,50
80.0000,54.4954,28.6523,-0.0008,20.6257,-0.0000,20.6257,54.4954,47
81.0000,54.9993,30.7045,-0.0008,20.6257,-0.0000,20.6257,54.9993,64
82.0000,55.4516,29.7206,2.0000,20.7257,0.1023,20.7257,55.4516,12
83.0000,55.7788,27.3211,2.0000,20.8257,0.0025,20.8257,55.7788,12
84.0000,57.2581,29.5845,0.0000,0.0100,0.0100,20.8257,57.2581,1
85.0000,57.7277,30.2688,2.0000,20.9257,0.0025,20.9257,57.7277,12
86.0000,58.1417,29.2544,2.0000,21.0257,0.0025,21.0257,58.1417,12
87.0000,58.4513,27.2681,2.0000,21.1257,0.0025,21.1257,58.4513,16
88.0000,58.9386,30.8725,-0.0008,21.1256,-0.0000,21.1256,58.9386,43
89.0000,59.2907,28.2179,2.0000,21.2256,0.0025,21.2256,59.2907,12
90.0000,59.7064,29.5399,-0.0008,21.2256,-0.0000,21.2256,59.7064,44
91.0000,60.0832,28.8100,2.0000,21.3256,0.0025,21.3256,60.0832,12
92.0000,60.4252,28.2167,2.0000,21.4256,0.0025,21.4256,60.4252,44
93.0000,60.7794,28.5094,-0.0008,21.4256,-0.0000,21.4256,60.7794,39
94.0000,61.0857,27.5522,-0.0008,21.4255,-0.0000,21.4255,61.0857,17
95.0000,61.5555,30.7210,-4.0000,12.5513,44.2328,21.2255,61.5555,38
96.0000,61.9370,28.9048,2.0000,21.3255,0.0025,21.3255,61.9370,18
97.0000,62.3468,29.5721,2.0000,21.4255,0.0025,21.4255,62.3468,29
98.0000,62.6765,28.0703,2.0000,21.5255,0.0025,21.5255,62.6765,14
99.0000,63.0292,28.5788,-0.0008,21.5255,-0.0000,21.5255,63.0292,35
100.0000,63.4684,30.3585,2.0000,21.6255,0.0025,21.6255,63.4684,41
101.0000,63.7949,28.2067,2.0000,21.7255,0.0025,21.7255,63.7949,34
102.0000,64.2503,30.8336,-0.0008,21.7254,-0.0000,21.7254,64.2503,63
103.0000,64.5695,28.1582,2.0000,21.8254,0.0025,21.8254,64.5695,15
104.0000,64.9138,28.7125,-0.0008,21.8254,-0.0000,21.8254,64.9138,41
105.0000,65.2780,29.1589,2.0000,21.9254,0.0025,21.9254,65.2780,48
106.0000,65.5419,27.2534,2.0000,22.0254,0.0025,22.0254,65.5419,24
107.0000,65.8630,28.4481,-0.0008,22.0254,-0.0000,22.0254,65.8630,30
108.0000,66.1466,27.7150,0.7432,22.0625,0.0009,22.0625,66.1466,44
109.0000,66.5584,30.2991,-0.0008,22.0625,-0.0000,22.0625,66.5584,46
110.0000,66.9820,30.5844,2.0000,22.1625,0.0025,22.1625,66.9820,15
111.0000,67.3713,29.9990,2.0000,22.2625,0.0025,22.2625,67.3713,13
112.0000,67.6419,27.7237,2.0000,22.3625,0.0025,22.3625,67.6419,14
113.0000,68.0212,29.9494,-0.0008,22.3624,-0.0000,22.3624,68.0212,103
114.0000,68.4018,30.0229,2.0000,22.4624,0.0025,22.4624,68.4018,18
115.0000,68.6525,27.5268,2.0000,22.5624,0.0025,22.5624,68.6525,16
116.0000,68.9743,28.9993,-0.0008,22.5624,-0.0000,22.5624,68.9743,32
117.0000,69.2766,28.6576,2.0000,22.6624,0.0025,22.6624,69.2766,60
118.0000,69.5725,28.5803,-0.0008,22.6624,-0.0000,22.6624,69.5725,56
119.0000,69.9338,29.8882,-0.0008,22.6623,-0.0000,22.6623,69.9338,63
120.0000,70.1520,27.0763,2.0000,22.7623,0.0025,22.7623,70.1520,14
121.0000,70.3975,27.6719,-0.0008,22.7623,-0.0000,22.7623,70.3975,30
122.0000,70.6990,28.7919,-0.0008,22.7622,-0.0000,22.7622,70.6990,31
123.0000,71.0066,28.9656,2.0000,22.8622,0.0025,22.8622,71.0066,65
124.0000,71.2620,28.0196,2.0000,22.9622,0.0025,22.9622,71.2620,23
125.0000,71.6148,30.0177,-0.0008,22.9622,-0.0000,22.9622,71.6148,42
126.0000,71.9891,30.4994,2.0000,23.0622,0.0025,23.0622,71.9891,12
127.0000,72.3418,30.1649,2.0000,23.1622,0.0025,23.1622,72.3418,17
128.0000,72.6917,30.2103,2.0000,23.2622,0.0025,23.2622,72.6917,16
129.0000,72.8901,27.2817,2.0000,23.3622,0.0025,23.3622,72.8901,13
130.0000,73.2045,29.6493,-0.0008,23.3622,-0.0000,23.3622,73.2045,19
131.0000,73.4401,28.1234,2.0000,23.4622,0.0025,23.4622,73.4401,61
132.0000,73.6459,27.5790,-0.0008,23.4621,-0.0000,23.4621,73.6459,56
133.0000,73.9378,29.3000,-0.0008,23.4621,-0.0000,23.4621,73.9378,67
134.0000,74.2996,30.7473,2.0000,23.5621,0.0025,23.5621,74.2996,51
135.0000,74.4997,27.6140,2.0000,23.6621,0.0025,23.6621,74.4997,19
136.0000,74.7183,28.0359,-0.0008,23.6620,-0.0000,23.6620,74.7183,54
137.0000,74.9409,28.1121,-0.0008,23.6620,-0.0000,23.6620,74.9409,63
138.0000,75.2512,29.8695,-0.0008,23.6620,-0.0000,23.6620,75.2512,35
139.0000,75.5341,29.3698,2.0000,23.7620,0.0025,23.7620,75.5341,33
140.0000,75.7791,28.7105,2.0000,23.8620,0.0025,23.8620,75.7791,26
141.0000,75.9820,27.9208,-0.0008,23.8619,-0.0000,23.8619,75.9820,63
142.0000,76.1581,27.3840,-0.0008,23.8619,-0.0000,23.8619,76.1581,69
143.0000,76.3406,27.5120,-0.0008,23.8618,-0.0000,23.8618,76.3406,40
144.0000,76.6417,29.8832,-0.0008,23.8618,-0.0000,23.8618,76.6417,84
145.0000,76.8925,28.9292,2.0000,23.9618,0.0525,23.9618,76.8925,32
146.0000,77.2126,30.3622,-0.0008,23.9618,-0.0000,23.9618,77.2126,19
147.0000,77.4222,28.2044,2.0000,24.0618,0.0025,24.0618,77.4222,34
148.0000,77.7188,29.9934,-0.0006,24.0617,-0.0000,24.0617,77.7188,24
149.0000,77.8857,27.4501,2.0000,24.1617,0.0025,24.1617,77.8857,29
150.0000,78.1450,29.3479,-0.0008,24.1617,-0.0000,24.1617,78.1450,47
151.0000,78.3251,27.8125,2.0000,24.2617,0.0025,24.2617,78.3251,49
152.0000,78.5830,29.4201,-0.0008,24.2616,-0.0000,24.2616,78.5830,64
153.0000,78.7718,28.0891,2.0000,24.3616,0.0025,24.3616,78.7718,31
154.0000,79.0608,30.0416,-4.0000,24.1616,0.0948,24.1616,79.0608,58
155.0000,79.3971,30.9369,2.0000,24.2616,0.0025,24.2616,79.3971,34
156.0000,79.6262,28.8938,2.0000,24.3616,0.0025,24.3616,79.6262,18
157.0000,79.9313,30.4640,-0.0008,24.3616,-0.0000,24.3616,79.9313,63
158.0000,80.1881,29.5479,2.0000,24.4616,0.0025,24.4616,80.1881,25
159.0000,80.3454,27.6559,2.0000,24.5616,0.0025,24.5616,80.3454,72
160.0000,80.4756,27.1672,-0.0008,24.5616,-0.0000,24.5616,80.4756,135
161.0000,80.6738,28.5253,-0.0008,24.5615,-0.0000,24.5615,80.6738,24
162.0000,80.9956,30.9977,-0.0008,24.5615,-0.0000,24.5615,80.9956,54
163.0000,81.2586,29.8714,2.0000,24.6615,0.0025,24.6615,81.2586,39
164.0000,81.3747,27.0318,2.0000,24.7615,0.0025,24.7615,81.3747,27
165.0000,81.5896,29.0612,-0.0008,24.7614,-0.0000,24.7614,81.5896,21
166.0000,81.7643,28.2538,-0.0008,24.7614,-0.0000,24.7614,81.7643,30
167.0000,82.0733,30.8416,-4.0000,24.5614,0.0948,24.5614,82.0733,51
168.0000,82.3043,29.2322,2.0000,24.6614,0.0025,24.6614,82.3043,17
169.0000,82.4808,28.2420,2.0000,24.7614,0.0025,24.7614,82.4808,52
170.0000,82.6129,27.4020,-0.0008,24.7614,-0.0000,24.7614,82.6129,105
171.0000,82.8194,28.8928,-0.0008,24.7613,-0.0000,24.7613,82.8194,61
172.0000,83.1033,30.4378,-0.0008,24.7613,-0.0000,24.7613,83.1033,48
173.0000,83.4115,30.9752,2.0000,24.8613,0.0025,24.8613,83.4115,29
174.0000,83.6240,29.1615,2.0000,24.9613,0.1023,24.9613,83.6240,19
175.0000,83.8662,29.8112,0.2282,24.9727,0.0003,24.9727,83.8662,37
176.0000,83.9780,27.2578,2.0000,25.0727,0.0025,25.0727,83.9780,29
177.0000,84.2013,29.5405,-0.0008,25.0727,-0.0000,25.0727,84.2013,22
178.0000,84.3480,28.0553,2.0000,25.1727,0.0025,25.1727,84.3480,55
179.0000,84.4517,27.2463,-0.0008,25.1726,-0.0000,25.1726,84.4517,36
180.0000,84.7156,30.4512,-0.0008,25.1726,-0.0000,25.1726,84.7156,21
181.0000,84.8050,27.0099,2.0000,25.2726,0.0025,25.2726,84.8050,41
182.0000,84.9051,27.2755,-0.0008,25.2725,-0.0000,25.2725,84.9051,68
183.0000,85.1653,30.4762,-0.0008,25.2725,-0.0000,25.2725,85.1653,75
184.0000,85.4002,30.0209,2.0000,25.3725,0.0025,25.3725,85.4002,43
185.0000,85.6315,30.0484,2.0000,25.4725,0.0025,25.4725,85.6315,43
186.0000,87.0607,28.5829,0.0000,0.0100,0.0100,25.4725,87.0607,1
187.0000,87.1802,27.8630,-0.0008,25.4725,-0.0000,25.4725,87.1802,47
188.0000,87.3112,28.0935,-0.0008,25.4724,-0.0000,25.4724,87.3112,72
189.0000,87.4885,29.0184,0.0000,0.0100,0.0100,25.4724,87.4885,2
190.0000,87.5938,27.5785,-0.0008,25.4724,-0.0000,25.4724,87.5938,34
191.0000,87.7181,27.9586,-0.0008,25.4723,-0.0000,25.4723,87.7181,98
192.0000,87.8886,28.8823,-0.0008,25.4723,-0.0000,25.4723,87.8886,41
193.0000,88.0579,28.8574,-0.0008,25.4723,-0.0000,25.4723,88.0579,55
194.0000,88.2200,28.7140,-0.0008,25.4722,-0.0000,25.4722,88.2200,57
195.0000,88.3184,27.4397,-0.0008,25.4722,-0.0000,25.4722,88.3184,56
196.0000,88.5254,29.6137,-0.0008,25.4721,-0.0000,25.4721,88.5254,43
197.0000,88.7312,29.6364,2.0000,25.5721,0.0025,25.5721,88.7312,38
198.0000,88.9529,30.0573,2.0000,25.6721,0.0025,25.6721,88.9529,46
