Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
105,550.117,14.7561,2,10.6,0.0025,10.6,550.117
106,550.322,14.7561,2,10.7,-9.999e-09,10.7,550.322
107,550.523,14.7561,2,10.8,0.0025,10.8,550.523
108,550.718,14.7561,2,10.9,0.0025,10.9,550.718
109,550.908,14.7561,2,11,0.0025,11,550.908
110,551.094,14.7561,2,11.1,-9.999e-09,11.1,551.094
111,551.274,14.7561,2,11.2,0.0025,11.2,551.274
112,551.449,14.7561,2,11.3,0.0025,11.3,551.449
113,551.62,14.7561,2,11.4,68.1486,11.4,551.62
114,551.785,14.7561,2,11.5,0.0025,11.5,551.785
115,551.945,14.7561,2,11.6,0.0025,11.6,551.945
116,552.1,14.7561,2,11.7,0.0025,11.7,552.1
117,552.251,14.7561,2,11.8,0.0025,11.8,552.251
118,552.396,14.7561,2,11.9,0.0025,11.9,552.396
119,552.536,14.7561,2,12,0.0025,12,552.536
120,552.672,14.7561,2,12.1,0.0025,12.1,552.672
121,552.802,14.7561,2,12.2,0.0025,12.2,552.802
122,552.927,14.7561,2,12.3,0.0025,12.3,552.927
123,553.048,14.7561,2,12.4,0.0025,12.4,553.048
124,553.163,14.7561,2,12.5,0.0025,12.5,553.163
125,553.273,14.7561,2,12.6,0.0025,12.6,553.273
126,553.379,14.7561,2,12.7,0.0025,12.7,553.379
127,553.479,14.7561,2,12.8,0.0025,12.8,553.479
128,553.574,14.7561,2,12.9,0.0025,12.9,553.574
129,553.664,14.7561,2,13,3.73492,13,553.664
130,553.75,14.7561,2,13.1,3.73492,13.1,553.75
131,553.83,14.7561,2,13.2,0.0025,13.2,553.83
132,553.905,14.7561,2,13.3,0.0025,13.3,553.905
133,553.976,14.7561,2,13.4,0.0025,13.4,553.976
134,554.041,14.7561,2,13.5,0.197946,13.5,554.041
135,554.101,14.7561,2,13.6,0.0025,13.6,554.101
136,554.157,14.7561,2,13.7,3.73492,13.7,554.157
137,554.207,14.7561,2,13.8,3.73492,13.8,554.207
138,554.252,14.7561,2,13.9,0.0025,13.9,554.252
139,554.292,14.7561,2,14,0.0025,14,554.292
140,554.328,14.7561,2,14.1,0.0497832,14.1,554.328
141,554.358,14.7561,2,14.2,9.31039,14.2,554.358
142,554.383,14.7561,2,14.3,0.0025,14.3,554.383
143,554.404,14.7561,2,14.4,3.73492,14.4,554.404
144,554.419,14.7561,2,14.5,-9.999e-09,14.5,554.419
145,554.429,14.7561,2,14.6,0.0025,14.6,554.429
146,554.435,14.7561,2,14.7,0.0025,14.7,554.435
147,554.435,14.7561,2,14.8,0.0025,14.8,554.435
148,554.43,14.7561,2,14.9,0.0025,14.9,554.43
149,554.421,14.7561,2,15,0.0025,15,554.421
150,554.406,14.7561,2,15.1,0.0025,15.1,554.406
151,554.386,14.7561,2,15.2,0.00249991,15.2,554.386
152,554.361,14.7561,2,15.3,0.0497832,15.3,554.361
153,554.332,14.7561,2,15.4,0.0025,15.4,554.332
154,554.297,14.7561,2,15.5,0.0025,15.5,554.297
155,554.257,14.7561,2,15.6,0.0025,15.6,554.257
156,554.213,14.7561,2,15.7,0.0025,15.7,554.213
157,554.163,14.7561,2,15.8,0.0025,15.8,554.163
158,554.108,14.7561,2,15.9,0.0025,15.9,554.108
159,554.049,14.7561,2,16,0.0025,16,554.049
160,553.984,14.7561,2,16.1,0.0025,16.1,553.984
161,553.914,14.7561,2,16.2,0.0025,16.2,553.914
162,553.839,14.7561,2,16.3,0.0025,16.3,553.839
163,553.76,14.7561,2,16.4,3.73492,16.4,553.76
164,553.675,14.7561,2,16.5,0.0025,16.5,553.675
165,553.585,14.7561,2,16.6,0.0025,16.6,553.585
166,553.491,14.7561,2,16.7,0.0025,16.7,553.491
167,553.391,14.7561,2,16.8,0.0025,16.8,553.391
168,553.286,14.7561,2,16.9,0.0025,16.9,553.286
169,553.177,14.7561,2,17,0.0025,17,553.177
170,553.062,14.7561,2,17.1,0.0025,17.1,553.062
171,552.942,14.7561,2,17.2,0.0025,17.2,552.942
172,552.817,14.7561,2,17.3,0.0025,17.3,552.817
173,552.688,14.7561,2,17.4,0.0025,17.4,552.688
174,552.553,14.7561,2,17.5,0.0025,17.5,552.553
175,552.413,14.7561,2,17.6,0.0025,17.6,552.413
176,552.269,14.7561,2,17.7,0.0025,17.7,552.269
177,552.119,14.7561,2,17.8,0.0025,17.8,552.119
178,551.964,14.7561,2,17.9,0.0025,17.9,551.964
179,551.805,14.7561,2,18,0.0025,18,551.805
180,551.64,14.7561,2,18.1,0.00249991,18.1,551.64
181,551.47,14.7561,2,18.2,3.73492,18.2,551.47
182,551.296,14.7561,2,18.3,0.0025,18.3,551.296
183,551.116,14.7561,2,18.4,3.73492,18.4,551.116
184,550.931,14.7561,2,18.5,0.0025,18.5,550.931
185,550.741,14.7561,2,18.6,0.0025,18.6,550.741
186,550.547,14.7561,2,18.7,0.00249991,18.7,550.547
187,550.347,14.7561,2,18.8,0.0025,18.8,550.347
188,550.142,14.7561,2,18.9,0.0025,18.9,550.142
189,549.933,14.7561,2,19,3.73492,19,549.933
190,549.718,14.7561,2,19.1,0.0025,19.1,549.718
191,549.498,14.7561,2,19.2,0.0497832,19.2,549.498
192,549.274,14.7561,2,19.3,0.0025,19.3,549.274
193,549.044,14.7561,2,19.4,0.0025,19.4,549.044
194,548.809,14.7561,2,19.5,0.0025,19.5,548.809
195,548.569,14.7561,2,19.6,0.0025,19.6,548.569
196,548.325,14.7561,2,19.7,0.0025,19.7,548.325
197,548.075,14.7561,2,19.8,0.0025,19.8,548.075
198,547.82,14.7561,2,19.9,0.0025,19.9,547.82
199,547.561,14.7561,2,20,0.038986,20,547.561
200,547.296,14.7561,2,20.1,0.0025,20.1,547.296
201,547.026,14.7561,2,20.2,0.0025,20.2,547.026
202,546.752,14.7561,2,20.3,0.0025,20.3,546.752
203,546.472,14.7561,2,20.4,0.0025,20.4,546.472
204,546.187,14.7561,2,20.5,0.0025,20.5,546.187
205,545.898,14.7561,2,20.6,0.0025,20.6,545.898
206,545.603,14.7561,2,20.7,0.0025,20.7,545.603
207,545.303,14.7561,2,20.8,2.18464,20.8,545.303
208,544.998,14.7561,2,20.9,0.0025,20.9,544.998
209,544.689,14.7561,2,21,0.0025,21,544.689
210,544.374,14.7561,2,21.1,-9.999e-09,21.1,544.374
211,544.054,14.7561,2,21.2,0.0025,21.2,544.054
212,543.73,14.7561,2,21.3,3.73492,21.3,543.73
213,543.4,14.7561,2,21.4,0.0025,21.4,543.4
214,543.065,14.7561,2,21.5,0.0025,21.5,543.065
215,542.726,14.7561,2,21.6,3.73492,21.6,542.726
216,542.381,14.7561,2,21.7,0.0025,21.7,542.381
217,542.031,14.7561,2,21.8,0.0025,21.8,542.031
218,541.676,14.7561,2,21.9,1.1275,21.9,541.676
219,541.317,14.7561,2,22,0.0025,22,541.317
220,540.952,14.7561,2,22.1,0.0025,22.1,540.952
221,540.582,14.7561,2,22.2,0.0025,22.2,540.582
222,540.208,14.7561,2,22.3,0.197946,22.3,540.208
223,539.828,14.7561,2,22.4,0.0025,22.4,539.828
224,539.443,14.7561,2,22.5,0.0025,22.5,539.443
225,539.054,14.7561,2,22.6,0.0025,22.6,539.054
226,538.659,14.7561,2,22.7,0.00249991,22.7,538.659
