Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
105,603.117,24.7561,2,10.6,0.0025,10.6,603.117
106,603.822,24.7561,2,10.7,0.0025,10.7,603.822
107,604.523,24.7561,2,10.8,-9.999e-09,10.8,604.523
108,605.218,24.7561,2,10.9,0.0025,10.9,605.218
109,605.908,24.7561,2,11,0.0025,11,605.908
110,606.594,24.7561,2,11.1,0.0025,11.1,606.594
111,607.274,24.7561,2,11.2,0.0025,11.2,607.274
112,607.949,24.7561,2,11.3,0.0025,11.3,607.949
113,608.62,24.7561,2,11.4,0.0025,11.4,608.62
114,609.285,24.7561,2,11.5,0.0025,11.5,609.285
115,609.945,24.7561,2,11.6,0.0025,11.6,609.945
116,610.6,24.7561,2,11.7,0.0025,11.7,610.6
117,611.251,24.7561,2,11.8,0.0025,11.8,611.251
118,611.896,24.7561,2,11.9,0.00250024,11.9,611.896
119,612.536,24.7561,2,12,0.0025,12,612.536
120,613.172,24.7561,2,12.1,0.0025,12.1,613.172
121,613.802,24.7561,2,11.9,601.805,12.2,613.802
122,614.427,24.7561,2,12.3,0.0025,12.3,614.427
123,615.048,24.7561,2,12.4,0.0025,12.4,615.048
124,615.663,24.7561,2,12.2,603.665,12.5,615.663
125,616.273,24.7561,2,12.6,0.0025,12.6,616.273
126,616.879,24.7561,2,12.7,0.0025,12.7,616.879
127,617.479,24.7561,2,12.8,0.0025,12.8,617.479
128,618.074,24.7561,2,12.9,0.0025,12.9,618.074
129,618.664,24.7561,2,13,0.0025,13,618.664
130,619.25,24.7561,2,13.1,0.0025,13.1,619.25
131,619.83,24.7561,2,13.2,0.0025,13.2,619.83
132,620.405,24.7561,2,13.3,0.0025,13.3,620.405
133,620.976,24.7561,2,13.4,0.0025,13.4,620.976
134,621.541,24.7561,2,13.5,0.0025,13.5,621.541
135,622.101,24.7561,2,13.6,0.0025,13.6,622.101
136,622.657,24.7561,2,13.7,0.0025,13.7,622.657
137,623.207,24.7561,2,13.8,0.0025,13.8,623.207
138,623.752,24.7561,2,13.9,0.0025,13.9,623.752
139,624.292,24.7561,2,14,-9.999e-09,14,624.292
140,624.828,24.7561,2,14.1,0.0025,14.1,624.828
141,625.358,24.7561,2,14.2,0.0025,14.2,625.358
142,625.883,24.7561,2,14.3,0.0025,14.3,625.883
143,626.404,24.7561,2,14.4,0.00677853,14.4,626.404
144,626.919,24.7561,2,14.5,0.0025,14.5,626.919
145,627.429,24.7561,2,14.6,0.0025,14.6,627.429
146,627.935,24.7561,2,14.7,0.0025,14.7,627.935
147,628.435,24.7561,2,14.8,0.0025,14.8,628.435
148,628.93,24.7561,2,14.9,0.0025,14.9,628.93
149,629.421,24.7561,2,15,0.0025,15,629.421
150,629.906,24.7561,2,15.1,0.0025,15.1,629.906
151,630.386,24.7561,2,15.2,0.8025,15.2,630.386
152,630.861,24.7561,2,15.3,0.0025,15.3,630.861
153,631.332,24.7561,2,15.4,0.0025,15.4,631.332
154,631.797,24.7561,2,15.5,0.0025,15.5,631.797
155,632.257,24.7561,2,15.6,0.0025,15.6,632.257
156,632.713,24.7561,2,15.7,0.0025,15.7,632.713
157,633.163,24.7561,2,15.8,0.0025,15.8,633.163
158,633.608,24.7561,2,15.9,0.0025,15.9,633.608
159,634.049,24.7561,2,16,0.0025,16,634.049
160,634.484,24.7561,2,16.1,0.0025,16.1,634.484
161,634.914,24.7561,2,16.2,0.0025,16.2,634.914
162,635.339,24.7561,2,16.3,3.50594,16.3,635.339
163,635.76,24.7561,2,16.4,0.0025,16.4,635.76
164,636.175,24.7561,2,16.5,0.0025,16.5,636.175
165,636.585,24.7561,2,16.6,0.0025,16.6,636.585
166,636.991,24.7561,2,16.7,0.0025,16.7,636.991
167,637.391,24.7561,2,16.8,0.0025,16.8,637.391
168,637.786,24.7561,2,16.9,0.00250024,16.9,637.786
169,638.177,24.7561,2,17,0.0025,17,638.177
170,638.562,24.7561,2,17.1,0.0025,17.1,638.562
171,638.942,24.7561,2,17.2,0.0025,17.2,638.942
172,639.317,24.7561,2,17.3,0.0025,17.3,639.317
173,639.688,24.7561,2,17.4,0.0025,17.4,639.688
174,640.053,24.7561,2,17.5,0.0025,17.5,640.053
175,640.413,24.7561,2,17.6,0.0025,17.6,640.413
176,640.769,24.7561,2,17.7,0.0025,17.7,640.769
177,641.119,24.7561,2,17.8,0.0025,17.8,641.119
178,641.464,24.7561,2,17.9,0.0025,17.9,641.464
179,641.805,24.7561,2,18,0.0025,18,641.805
180,642.14,24.7561,2,18.1,0.0025,18.1,642.14
181,642.47,24.7561,2,18.2,0.0025,18.2,642.47
182,642.796,24.7561,2,18.3,0.00250024,18.3,642.796
183,643.116,24.7561,2,18.4,0.0025,18.4,643.116
184,643.431,24.7561,2,18.5,0.0025,18.5,643.431
185,643.741,24.7561,2,18.6,0.0275,18.6,643.741
186,644.047,24.7561,2,18.7,0.0025,18.7,644.047
187,644.347,24.7561,2,18.8,0.0025,18.8,644.347
188,644.642,24.7561,2,18.9,0.0025,18.9,644.642
189,644.933,24.7561,2,19,0.0025,19,644.933
190,645.218,24.7561,2,19.1,0.0025,19.1,645.218
191,645.498,24.7561,2,19.2,0.0025,19.2,645.498
192,645.774,24.7561,2,19.3,1.0943e-07,19.3,645.774
193,646.044,24.7561,2,19.4,0.0025,19.4,646.044
194,646.309,24.7561,2,19.5,0.277623,19.5,646.309
195,646.569,24.7561,2,19.6,0.0025,19.6,646.569
196,646.825,24.7561,2,19.7,0.0025,19.7,646.825
197,647.075,24.7561,2,19.8,0.0025,19.8,647.075
198,647.32,24.7561,2,19.9,0.0025,19.9,647.32
199,647.561,24.7561,2,20,0.00250001,20,647.561
200,647.796,24.7561,2,20.1,0.0025,20.1,647.796
